Date,download
2010-06-26,0.8
2010-06-27,0.845
2010-06-28,1.1440000000000001
2010-06-29,1.2570000000000001
2010-06-30,1.626
2010-07-01,3.429
2010-07-02,1.945
2010-07-03,0.7759999999999999
2010-07-04,0.65
2010-07-05,0.9640000000000001
2010-07-06,0.8220000000000001
2010-07-07,0.741
2010-07-08,0.586
2010-07-09,1.459
2010-07-10,0.6859999999999999
2010-07-11,0.65
2010-07-12,0.794
2010-07-13,0.617
2010-07-14,2.613
2010-07-15,0.62
2010-07-16,0.9229999999999999
2010-07-17,0.5660000000000001
2010-07-18,0.9670000000000001
2010-07-19,0.581
2010-07-20,0.855
2010-07-21,0.9279999999999999
2010-07-22,1.138
2010-07-23,1.72
2010-07-24,0.8170000000000001
2010-07-25,0.462
2010-07-26,1.5630000000000002
2010-07-27,0.87
2010-07-28,0.677
2010-07-29,0.992
2010-07-30,0.9490000000000001
2010-07-31,0.73
2010-08-01,0.637
2010-08-02,1.411
2010-08-03,2.0540000000000003
2010-08-04,1.7180000000000002
2010-08-05,1.595
2010-08-06,1.499
2010-08-07,0.6759999999999999
2010-08-08,0.83
2010-08-09,0.6559999999999999
2010-08-10,1.776
2010-08-11,1.4909999999999999
2010-08-12,0.8740000000000001
2010-08-13,0.7
2010-08-14,1.315
2010-08-15,0.87
2010-08-16,0.986
2010-08-17,1.838
2010-08-18,0.8390000000000001
2010-08-19,1.847
2010-08-20,0.971
2010-08-21,0.988
2010-08-22,1.505
2010-08-23,1.1159999999999999
2010-08-24,1.825
2010-08-25,1.368
2010-08-26,1.893
2010-08-27,1.179
2010-08-28,0.605
2010-08-29,0.85
2010-08-30,1.946
2010-08-31,1.232
2010-09-01,0.63
2010-09-02,0.74
2010-09-03,1.516
2010-09-04,0.953
2010-09-05,0.67
2010-09-06,0.73
2010-09-07,1.514
2010-09-08,0.862
2010-09-09,2.399
2010-09-10,2.137
2010-09-11,0.79
2010-09-12,0.473
2010-09-13,1.396
2010-09-14,3.3739999999999997
2010-09-15,0.996
2010-09-16,0.7909999999999999
2010-09-17,1.411
2010-09-18,1.129
2010-09-19,0.9359999999999999
2010-09-20,0.675
2010-09-21,1.754
2010-09-22,0.857
2010-09-23,0.258
2010-09-24,1.147
2010-09-25,1.453
2010-09-26,0.8320000000000001
2010-09-27,1.3719999999999999
2010-09-28,2.81
2010-09-29,3.404
2010-09-30,2.332
2010-10-01,0.7040000000000001
2010-10-02,1.548
2010-10-03,0.529
2010-10-04,4.738
2010-10-05,2.206
2010-10-06,1.795
2010-10-07,0.963
2010-10-08,1.382
2010-10-09,1.5119999999999998
2010-10-10,0.871
2010-10-11,2.855
2010-10-12,1.057
2010-10-13,1.818
2010-10-14,2.59
2010-10-15,1.672
2010-10-16,0.5579999999999999
2010-10-17,0.69
2010-10-18,3.022
2010-10-19,2.146
2010-10-20,0.6609999999999999
2010-10-21,2.125
2010-10-22,2.807
2010-10-23,0.616
2010-10-24,0.899
2010-10-25,1.926
2010-10-26,0.77
2010-10-27,1.073
2010-10-28,2.148
2010-10-29,0.7879999999999999
2010-10-30,0.9940000000000001
2010-10-31,0.813
2010-11-01,2.269
2010-11-02,2.47
2010-11-03,1.6769999999999998
2010-11-04,1.072
2010-11-05,0.6940000000000001
2010-11-06,1.693
2010-11-07,1.187
2010-11-08,2.7039999999999997
2010-11-09,1.063
2010-11-10,1.382
2010-11-11,1.841
2010-11-12,2.217
2010-11-13,1.4969999999999999
2010-11-14,0.516
2010-11-15,0.293
2010-11-16,3.489
2010-11-17,2.535
2010-11-18,1.732
2010-11-19,0.978
2010-11-20,0.83
2010-11-21,3.082
2010-11-22,1.13
2010-11-23,0.8540000000000001
2010-11-24,1.6580000000000001
2010-11-25,0.83
2010-11-26,1.71
2010-11-27,0.52
2010-11-28,1.79
2010-11-29,2.2030000000000003
2010-11-30,3.897
2010-12-01,3.747
2010-12-02,2.594
2010-12-03,2.252
2010-12-04,3.0869999999999997
2010-12-05,1.475
2010-12-06,3.1860000000000004
2010-12-07,3.2430000000000003
2010-12-08,1.544
2010-12-09,1.4869999999999999
2010-12-10,1.453
2010-12-11,1.11
2010-12-12,1.911
2010-12-13,0.946
2010-12-14,1.2409999999999999
2010-12-15,2.42
2010-12-16,2.011
2010-12-17,2.073
2010-12-18,2.244
2010-12-19,1.511
2010-12-20,2.727
2010-12-21,1.5430000000000001
2010-12-22,1.536
2010-12-23,1.286
2010-12-24,1.986
2010-12-25,1.133
2010-12-26,1.396
2010-12-27,1.1059999999999999
2010-12-28,2.0709999999999997
2010-12-29,2.7039999999999997
2010-12-30,0.816
2010-12-31,0.602
2011-01-01,2.141
2011-01-02,0.593
2011-01-03,0.544
2011-01-04,1.767
2011-01-05,1.5530000000000002
2011-01-06,0.27899999999999997
2011-01-07,1.6019999999999999
2011-01-08,1.367
2011-01-09,1.959
2011-01-10,2.476
2011-01-11,1.199
2011-01-12,7.85
2011-01-13,1.023
2011-01-14,1.614
2011-01-15,1.8359999999999999
2011-01-16,0.564
2011-01-17,0.88
2011-01-18,3.947
2011-01-19,1.127
2011-01-20,0.838
2011-01-21,1.168
2011-01-22,1.4580000000000002
2011-01-23,0.45399999999999996
2011-01-24,0.46299999999999997
2011-01-25,1.5490000000000002
2011-01-26,4.167
2011-01-27,1.206
2011-01-28,1.2919999999999998
2011-01-29,1.196
2011-01-30,0.9590000000000001
2011-01-31,3.194
2011-02-01,2.329
2011-02-02,2.8489999999999998
2011-02-03,4.099
2011-02-04,8.219
2011-02-05,1.8259999999999998
2011-02-06,1.655
2011-02-07,3.51
2011-02-08,6.196000000000001
2011-02-09,1.504
2011-02-10,1.4240000000000002
2011-02-11,1.992
2011-02-12,1.137
2011-02-13,2.6519999999999997
2011-02-14,2.9360000000000004
2011-02-15,2.4019999999999997
2011-02-16,1.224
2011-02-17,2.269
2011-02-18,2.519
2011-02-19,1.056
2011-02-20,2.207
2011-02-21,3.3489999999999998
2011-02-22,2.024
2011-02-23,1.3119999999999998
2011-02-24,1.671
2011-02-25,2.7039999999999997
2011-02-26,3.305
2011-02-27,2.3930000000000002
2011-02-28,6.579
2011-03-01,3.094
2011-03-02,1.5019999999999998
2011-03-03,0.899
2011-03-04,2.7439999999999998
2011-03-05,1.8840000000000001
2011-03-06,1.798
2011-03-07,4.187
2011-03-08,2.154
2011-03-09,1.545
2011-03-10,1.2590000000000001
2011-03-11,5.37
2011-03-12,0.777
2011-03-13,1.5830000000000002
2011-03-14,3.045
2011-03-15,2.766
2011-03-16,1.9140000000000001
2011-03-17,3.773
2011-03-18,5.31
2011-03-19,5.409
2011-03-20,2.343
2011-03-21,1.564
2011-03-22,2.94
2011-03-23,1.091
2011-03-24,1.185
2011-03-25,3.65
2011-03-26,0.785
2011-03-27,2.3930000000000002
2011-03-28,2.31
2011-03-29,0.823
2011-03-30,2.4090000000000003
2011-03-31,3.71
2011-04-01,1.4980000000000002
2011-04-02,1.8330000000000002
2011-04-03,1.325
2011-04-04,2.583
2011-04-05,2.05
2011-04-06,1.173
2011-04-07,4.654
2011-04-08,1.6230000000000002
2011-04-09,3.074
2011-04-10,1.045
2011-04-11,0.7040000000000001
2011-04-12,7.529
2011-04-13,2.758
2011-04-14,0.292
2011-04-15,4.188
2011-04-16,3.005
2011-04-17,4.781000000000001
2011-04-18,2.853
2011-04-19,2.145
2011-04-20,2.69
2011-04-21,0.519
2011-04-22,0.838
2011-04-23,1.3980000000000001
2011-04-24,1.3869999999999998
2011-04-25,3.986
2011-04-26,1.113
2011-04-27,1.8769999999999998
2011-04-28,2.06
2011-04-29,1.486
2011-04-30,6.1770000000000005
2011-05-01,2.903
2011-05-02,1.005
2011-05-03,2.577
2011-05-04,1.79
2011-05-05,1.699
2011-05-06,2.813
2011-05-07,2.051
2011-05-08,2.463
2011-05-09,0.43700000000000006
2011-05-10,1.64
2011-05-11,3.491
